pair_id,source_context_preference,subcondition_label,preferred_construction,nonpreferred_construction,preferred_sentence,nonpreferred_sentence,preferred_corrected,nonpreferred_corrected,preferred_accepted,nonpreferred_flagged,pair_edit_accept_correct,nonpreferred_corrected_to_paired_preferred,preferred_edit_summary,nonpreferred_edit_summary
BA-PC-014,BA-preferred,物理状态改变,BA,SVO,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,那盘饺子不能剩下，弟弟刚刚吃掉了它。,"那盘饺子不能剩下,弟弟刚刚把它吃掉了。","那盘饺子不能剩下,弟弟刚刚吃掉了它。",True,False,False,False,,
BA-PC-015,BA-preferred,物理状态改变,BA,SVO,这个包裹的胶带太紧了，我把它剪开了。,这个包裹的胶带太紧了，我剪开了它。,"这个包裹的胶带太紧了,我把它剪开了。","这个包裹的胶带太紧了,我剪开了它。",True,False,False,False,,
BA-PC-016,BA-preferred,物理状态改变,BA,SVO,这件衣服破了一个洞，妈妈已经把它缝好了。,这件衣服破了一个洞，妈妈已经缝好了它。,"这件衣服破了一个洞,妈妈已经把它缝好了。","这件衣服破了一个洞,妈妈已经缝好了它。",True,False,False,False,,
BA-PC-017,BA-preferred,物理状态改变,BA,SVO,那个面包已经发霉了，我早上把它丢掉了。,那个面包已经发霉了，我早上丢掉了它。,"那个面包已经发霉了,我早上把它丢掉了。","那个面包已经发霉了,我早上丢掉了它。",True,False,False,False,,
BA-PC-018,BA-preferred,物理状态改变,BA,SVO,这碗汤实在太咸了，我加了一些水把它冲淡了。,这碗汤实在太咸了，我加了一些水冲淡了它。,"这碗汤实在太咸了,我加了一些水把它冲淡了。","这碗汤实在太咸了,我加了一些水冲淡了它。",True,False,False,False,,
BA-PC-019,BA-preferred,物理状态改变,BA,SVO,厨房的窗户太脏了，我用抹布把它擦干净了。,厨房的窗户太脏了，我用抹布擦干净了它。,"厨房的窗户太脏了,我用抹布把它擦干净了。","厨房的窗户太脏了,我用抹布擦干净了它。",True,False,False,False,,
BA-PC-020,BA-preferred,物理状态改变,BA,SVO,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,"这个西瓜太大了,我一个人吃不完,先用刀把它切开了。","这个西瓜太大了,我一个人吃不完,先用刀切开了它。",True,False,False,False,,
BA-PC-021,BA-preferred,物理状态改变,BA,SVO,那张画被妹妹涂得乱七八糟，我只能把它扔了。,那张画被妹妹涂得乱七八糟，我只能扔了它。,"那张画被妹妹涂得乱七八糟,我只能把它扔了。","那张画被妹妹涂得乱七八糟,我只能扔了它。",True,False,False,False,,
BA-PC-022,BA-preferred,物理状态改变,BA,SVO,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,"昨天买的肉还没吃,为了保鲜,我先把它冻起来了。","昨天买的肉还没吃,为了保鲜,我先冻起来了它。",True,False,False,False,,
BA-PC-023,BA-preferred,物理状态改变,BA,SVO,我的鞋子昨天淋湿了，我用吹风机把它吹干了。,我的鞋子昨天淋湿了，我用吹风机吹干了它。,"我的鞋子昨天浸湿了,我用吹风机把它吹干了。","我的鞋子昨天浸湿了,我用吹风机吹干了它。",False,True,False,False,replace:淋->浸@6:7,replace:淋->浸@6:7
BA-PC-024,BA-preferred,物理状态改变,BA,SVO,这个汉堡实在太大了，但我太饿了，最后还是把它吃光了。,这个汉堡实在太大了，但我太饿了，最后还是吃光了它。,"这个汉堡实在太大了,但我太饿了,最后还是把它吃光了。","这个汉堡实在太大了,但我太饿了,最后还是吃光了它。",True,False,False,False,,
BA-PC-025,BA-preferred,物理状态改变,BA,SVO,那封旧情书，他用打火机把它烧了。,那封旧情书，他用打火机烧了它。,"那封旧情书,他用打火机把它烧了。","那封旧情书,他用打火机烧了它。",True,False,False,False,,
BA-PC-026,BA-preferred,物理状态改变,BA,SVO,这篇作文有很多错别字，昨天晚上我已经把那些字修改了。,这篇作文有很多错别字，昨天晚上我已经修改了那些字。,"这篇作文有很多错别字,昨天晚上我已经把那些字修改了。","这篇作文有很多错别字,昨天晚上我已经修改了那些字。",True,False,False,False,,
BA-PC-027,BA-preferred,物理状态改变,BA,SVO,墙上的那个钉子太危险，爸爸用锤子把它拔出来了。,墙上的那个钉子太危险，爸爸用锤子拔出它来了。,"墙上的那个钉子太危险,爸爸用锤子把它拔出来了。","墙上的那个钉子太危险,爸爸用锤子拔出它来了。",True,False,False,False,,
BA-PC-028,BA-preferred,物理状态改变,BA,SVO,弟弟的玩具车坏了，我花了一个小时才把它修好了。,弟弟的玩具车坏了，我花了一个小时才修好了它。,"弟弟的玩具车坏了,我花了一个小时才把它修好了。","弟弟的玩具车坏了,我花了一个小时才修好了它。",True,False,False,False,,
BA-PC-029,BA-preferred,物理状态改变,BA,SVO,锅里没有倒水，我不小心把它烧糊了。,锅里没有倒水，我不小心烧糊了它。,"锅里没有倒水,我不小心把它烧糊了。","锅里没有倒水,我不小心烧糊了它。",True,False,False,False,,
BA-PC-030,BA-preferred,物理状态改变,BA,SVO,那个旧纸箱没用了，我一脚把它踩扁了。,那个旧纸箱没用了，我一脚踩扁了它。,"那个旧纸箱没用了,我一脚把它踩扁了。","那个旧纸箱没用了,我一脚踩扁了它。",True,False,False,False,,
BA-PC-031,BA-preferred,物理状态改变,BA,SVO,这条鱼腌好了，妈妈放进锅里把它炖了。,这条鱼腌好了，妈妈放进锅里炖了它。,"这条鱼腌好了,妈妈放进锅里把它炖了。","这条鱼腌好了,妈妈放进锅里炖了它。",True,False,False,False,,
BA-PC-032,BA-preferred,物理状态改变,BA,SVO,那个气球吹得太大了，弟弟拿针一戳就把它扎破了。,那个气球吹得太大了，弟弟拿针一戳就扎破了它。,"那个气球吹得太大了,弟弟拿针一戳就把它扎破了。","那个气球吹得太大了,弟弟拿针一戳就扎破了它。",True,False,False,False,,
BA-PC-033,BA-preferred,物理状态改变,BA,SVO,头发太长了，我昨天去理发店把它剪短了。,头发太长了，我昨天去理发店剪短了它。,"头发太长了,我昨天去理发店把它剪短了。","头发太长了,我昨天去理发店剪短了它。",True,False,False,False,,
BA-PC-034,BA-preferred,物理状态改变,BA,SVO,这张纸太大了，放不进信封，我只好把它折起来了。,这张纸太大了，放不进信封，我只好折起它来了。,"这张纸太大了,放不进信封,我只好把它折起来了。","这张纸太大了,放不进信封,我只好折起它来了。",True,False,False,False,,
BA-PC-035,BA-preferred,物理状态改变,BA,SVO,我的铅笔头断了，我用小刀重新把它削尖了。,我的铅笔头断了，我用小刀重新削尖了它。,"我的橡皮头断了,我用小刀重新把它削尖了。","我的铅笔头断了,我用小刀重新削尖了它。",False,False,False,False,replace:铅笔->橡皮@2:4,
BA-PC-036,BA-preferred,物理状态改变,BA,SVO,这个旧杯子有裂缝，我不小心把它打碎了。,这个旧杯子有裂缝，我不小心打碎了它。,"这个旧杯子有裂缝,我不小心把它打碎了。","这个旧杯子有裂缝,我不小心打碎了它。",True,False,False,False,,
BA-PC-037,BA-preferred,物理状态改变,BA,SVO,地上的那张废纸，我捡起来顺手把它扔了。,地上的那张废纸，我捡起来顺手扔了它。,"地上的那张废纸,我捡起来顺手把它扔了。","地上的那张废纸,我捡起来顺手扔了它。",True,False,False,False,,
BA-PC-038,BA-preferred,物理状态改变,BA,SVO,昨天晚上剩下的米饭，我早上加了蛋把它炒了。,昨天晚上剩下的米饭，我早上加了蛋炒了它。,"昨天晚上剩下的米饭,我早上加了蛋把它炒了。","昨天晚上剩下的米饭,我早上加了蛋炒了它。",True,False,False,False,,
BA-PC-039,BA-preferred,物理状态改变,BA,SVO,这瓶矿泉水我已经打开了，你赶紧把它喝了吧。,这瓶矿泉水我已经打开了，你赶紧喝了它吧。,"这瓶矿泉水我已经打开了,你赶紧把它喝了吧。","这瓶矿泉水我已经打开了,你赶紧喝了它吧。",True,False,False,False,,
BA-PC-040,BA-preferred,物理状态改变,BA,SVO,那块大石头挡在路中间，工人们用机器把它砸碎了。,那块大石头挡在路中间，工人们用机器砸碎了它。,"那块大石头挡在路中间,工人们用机器把它砸碎了。","那块大石头挡在路中间,工人们用机器砸碎了它。",True,False,False,False,,
BA-PC-041,BA-preferred,物理状态改变,BA,SVO,外面太阳很大，被子很潮湿，妈妈拿出去把它晒干了。,外面太阳很大，被子很潮湿，妈妈拿出去晒干了它。,"外面太阳很大,被子很潮湿,妈妈拿出去把它晒干了。","外面太阳很大,被子很潮湿,妈妈拿出去晒干了它。",True,False,False,False,,
BA-PC-042,BA-preferred,物理状态改变,BA,SVO,这个木头椅子不结实了，爷爷用钉子把它加固了。,这个木头椅子不结实了，爷爷用钉子加固了它。,"这个木头椅子不结实了,爷爷用钉子把它加固了。","这个木头椅子不结实了,爷爷用钉子加固了它。",True,False,False,False,,
BA-PC-043,BA-preferred,物理状态改变,BA,SVO,我的旧裤子太长了，昨天裁缝把它改短了。,我的旧裤子太长了，昨天裁缝改短了它。,"我的旧裤子太长了,昨天裁缝把它改短了。","我的旧裤子太长了,昨天裁缝改短了它。",True,False,False,False,,
BA-PC-044,BA-preferred,物理状态改变,BA,SVO,这篇文章写得太长了，我就把它缩短了。,这篇文章写得太长了，我就缩短了它。,"这篇文章写得太长了,我就把它缩短了。","这篇文章写得太长了,我就缩短了它。",True,False,False,False,,
BA-PC-045,BA-preferred,物理状态改变,BA,SVO,那个旧轮胎漏气了，修车师傅把它补好了。,那个旧轮胎漏气了，修车师傅补好了它。,"那个旧轮胎漏气了,修车师傅把它补好了。","那个旧轮胎漏气了,修车师傅补好了它。",True,False,False,False,,
BA-PC-046,BA-preferred,物理状态改变,BA,SVO,这杯茶已经凉透了，我不喜欢喝凉茶，就把它倒掉了。,这杯茶已经凉透了，我不喜欢喝凉茶，就倒掉它了。,"这杯茶已经凉透了,我不喜欢喝凉茶,就把它倒掉了。","这杯茶已经凉透了,我不喜欢喝凉茶,就倒掉它了。",True,False,False,False,,
BA-PC-047,BA-preferred,物理状态改变,BA,SVO,听说你想吃饼干，我现在已经把它烤熟了。,听说你想吃饼干，我现在已经烤熟它了。,"听说你想吃饼干,我现在已经把它烤熟了。","听说你想吃饼干,我现在已经烤熟它了。",True,False,False,False,,
BA-PC-048,BA-preferred,物理状态改变,BA,SVO,弟弟把口香糖吐在纸巾里，他把它包起来了。,弟弟把口香糖吐在纸巾里，他包起它来了。,"弟弟把口香糖吐在纸巾里,他把它包起来了。","弟弟把口香糖吐在纸巾里,他抱起他来了。",True,True,True,False,,replace:包->抱@13:14 | replace:它->他@15:16
BA-PC-049,BA-preferred,物理状态改变,BA,SVO,那个闹钟一直响个不停，我伸手把它关掉了。,那个闹钟一直响个不停，我伸手关掉它了。,"那个闹钟一直响个不停,我伸手把它关掉了。","那个闹钟一直响个不停,我伸手关掉它了。",True,False,False,False,,
BA-PC-050,BA-preferred,物理状态改变,BA,SVO,这盒冰淇淋马上就要融化了，你快点把它吃了吧。,这盒冰淇淋马上就要融化了，你快点吃了它吧。,"这盒冰淇淋马上就要融化了,你快点把它吃了吧。","这盒冰淇淋马上就要融化了,你快点吃了它吧。",True,False,False,False,,
BA-SD-001,BA-preferred,空间位移,BA,SVO,你的外套放在沙发上太乱了，我把它挂起来了。,你的外套放在沙发上太乱了，我挂起它来了。,"你的外套放在沙发上太乱了,我把它挂起来了。","你的外套放在沙发上太乱了,我挂起它来了。",True,False,False,False,,
BA-SD-002,BA-preferred,空间位移,BA,SVO,外面下雨了，院子里的自行车，我已经把它推进来了。,外面下雨了，院子里的自行车，我已经推它进来了。,"外面下雨了,院子里的自行车,我已经把它推进来了。","外面下雨了,院子里的自行车,我已经推它进来了。",True,False,False,False,,
BA-SD-003,BA-preferred,空间位移,BA,SVO,这本书我看完了，昨天我把它放回书架了。,这本书我看完了，昨天我放它回书架了。,"这本书我看完了,昨天我把它放回书架了。","这本书我看完了,昨天我放他回书架了。",True,True,True,False,,replace:它->他@12:13
BA-SD-004,BA-preferred,空间位移,BA,SVO,垃圾桶满了，出门的时候我把垃圾扔了。,垃圾桶满了，出门的时候我扔了垃圾。,"垃圾桶满了,出门的时候我把垃圾扔了。","垃圾桶满了,出门的时候我扔了垃圾。",True,False,False,False,,
BA-SD-005,BA-preferred,空间位移,BA,SVO,行李箱太重了，我叫人把它搬上楼了。,行李箱太重了，我叫人搬它上了楼。,"行李箱太重了,我叫人把它搬上楼了。","行李箱太重了,我叫人搬他上了楼。",True,True,True,False,,replace:它->他@11:12
BA-SD-006,BA-preferred,空间位移,BA,SVO,刚买的啤酒不凉，我把它放进冰箱了。,刚买的啤酒不凉，我放它进了冰箱。,"刚买的啤酒不凉,我把它放进冰箱了。","刚买的啤酒不亮,我放他进了冰箱。",True,True,True,False,,replace:凉->亮@6:7 | replace:它->他@10:11
BA-SD-007,BA-preferred,空间位移,BA,SVO,钱包掉在地上了，我把它捡起来了。,钱包掉在地上了，我捡起它来了。,"钱包掉在地上了,我把它捡起来了。","钱包掉在地上了,我捡起他来了。",True,True,True,False,,replace:它->他@11:12
BA-SD-008,BA-preferred,空间位移,BA,SVO,你的帽子掉在椅子下了，我把它拿走了。,你的帽子掉在椅子下了，我拿走了它。,"你的帽子掉在椅子底下了,我把它拿走了。","你的帽子掉在椅子底下了,我拿走了它。",False,True,False,False,insert:->底@8:8,insert:->底@8:8
BA-SD-009,BA-preferred,空间位移,BA,SVO,这些旧报纸没用了，我把它们丢到门外了。,这些旧报纸没用了，我丢它们到门外了。,"这些旧报纸没用了,我把它们丢到门外了。","这些旧报纸没用了,我丢它们到门外了。",True,False,False,False,,
BA-SD-010,BA-preferred,空间位移,BA,SVO,黑板上的字写错了，老师把它擦掉了。,黑板上的字写错了，老师擦掉了它。,"黑板上的字写错了,老师把它擦掉了。","黑板上的字写错了,老师擦掉了它。",True,False,False,False,,
BA-SD-011,BA-preferred,空间位移,BA,SVO,确认没有拼写错误之后，秘书走进经理办公室把那份重要文件递过去了。,确认没有拼写错误之后，秘书走进经理办公室递过去了那份重要文件。,"确认没有拼写错误之后,秘书走进经理办公室把那份重要文件递过去了。","确认没有拼写错误之后,秘书走进经理办公室递过去了那份重要文件。",True,False,False,False,,
BA-SD-012,BA-preferred,空间位移,BA,SVO,弟弟对动物毛发过敏，所以妈妈只能把那只小狗抱出去了。,弟弟对动物毛发过敏，所以妈妈只能抱出去了那只小狗。,"弟弟对动物毛发过敏,所以妈妈只能把那只小狗抱出去了。","弟弟对动物毛发过敏,所以妈妈只能抱出去了那只小狗。",True,False,False,False,,
BA-SD-013,BA-preferred,空间位移,BA,SVO,看到桌子上前女友的照片，他叹了一口气，然后把那张旧照片收了起来。,看到桌子上前女友的照片，他叹了一口气，然后收起来了那张旧照片。,"看到桌子上前女友的照片,他叹了一口气,然后把那张旧照片收了起来。","看到桌子上前女友的照片,他叹了一口气,然后收起来了那张旧照片。",True,False,False,False,,
BA-SD-014,BA-preferred,空间位移,BA,SVO,这个沙发挡住了门，我们把它移开了。,这个沙发挡住了门，我们移开了它。,"这个沙发挡住了门,我们把它移开了。","这个沙发挡住了门,我们移开了它。",True,False,False,False,,
BA-SD-015,BA-preferred,空间位移,BA,SVO,那只小猫在雨里很冷，我把它抱回家了。,那只小猫在雨里很冷，我抱它回家了。,"那只小猫在雨里很冷,我把它抱回家了。","那只小猫在雨里很冷,我抱它回家了。",True,False,False,False,,
BA-SD-016,BA-preferred,空间位移,BA,SVO,这个抽屉太满了，我把不需要的东西拿出来了。,这个抽屉太满了，我拿出来不需要的东西了。,"这个口袋太满了,我把不需要的东西拿出来了。","这个口袋太满了,我拿出来不需要的东西了。",False,True,False,False,replace:抽屉->口袋@2:4,replace:抽屉->口袋@2:4
BA-SD-017,BA-preferred,空间位移,BA,SVO,刚买的鸡蛋怕摔碎，妈妈小心地把它放进了篮子里。,刚买的鸡蛋怕摔碎，妈妈小心地放它进了篮子。,"刚买的鸡蛋怕摔碎,妈妈小心地把它放进了篮子里。","刚买的鸡蛋怕摔碎,妈妈小心地放他进了篮子。",True,True,True,False,,replace:它->他@15:16
BA-SD-018,BA-preferred,空间位移,BA,SVO,地图太大了不好拿，我上车前把它卷起来了。,地图太大了不好拿，我上车前卷起它来了。,"地图太大了不好拿,我上车前把它卷起来了。","地图太大了不好拿,我上车前卷起它来了。",True,False,False,False,,
BA-SD-019,BA-preferred,空间位移,BA,SVO,客厅的那个旧沙发，搬家公司今天早上已经把它运走了。,客厅的那个旧沙发，搬家公司今天早上已经运走它了。,"客厅的那个旧沙发,搬家公司今天早上已经把它运走了。","客厅的那个旧沙发,搬家公司今天早上已经运走他了。",True,True,True,False,,replace:它->他@21:22
BA-SD-020,BA-preferred,空间位移,BA,SVO,你的身份证落在我这里了，我明天下午把它送过去。,你的身份证落在我这里了，我明天下午送它过去。,"你的身份证落在我这里了,我明天下午把它送过去。","你的身份证落在我这里了,我明天下午送他过去。",True,True,True,False,,replace:它->他@18:19
BA-SD-021,BA-preferred,空间位移,BA,SVO,下班时间到了，他关上电脑，迅速地把那台电脑收进去了。,下班时间到了，他关上电脑，迅速地收进去了那台电脑。,"下班时间到了,他关上电脑,迅速地把那台电脑收进去了。","下班时间到了,他关上电脑,迅速地收进去了那台电脑。",True,False,False,False,,
BA-SD-022,BA-preferred,空间位移,BA,SVO,那个大纸箱在路边太危险，环卫工人把它拖走了。,那个大纸箱在路边太危险，环卫工人拖走了它。,"那个大纸箱在路边太危险,环卫工人把它拖走了。","那个大纸箱在路边太危险,环卫工人拖走了它。",True,False,False,False,,
BA-SD-023,BA-preferred,空间位移,BA,SVO,这封挂号信很重要，邮递员准时把它放进了信箱。,这封挂号信很重要，邮递员准时放它进了信箱。,"这封挂号信很重要,邮递员准时把它放进了信箱。","这封挂号信很重要,邮递员准时放他进了信箱。",True,True,True,False,,replace:它->他@15:16
BA-SD-024,BA-preferred,空间位移,BA,SVO,大家吃完晚饭后，懂事的妹妹主动帮忙把那几个空碗端进去了。,大家吃完晚饭后，懂事的妹妹主动帮忙端进去了那几个空碗。,"大家吃完晚饭后,懂事的妹妹主动帮忙把那几个空碗端进去了。","大家吃完晚饭后,懂事的妹妹主动帮忙端进去了那几个空碗。",True,False,False,False,,
BA-SD-025,BA-preferred,空间位移,BA,SVO,那几本书实在太重了，我帮你把它们拿上车吧。,那几本书实在太重了，我帮你拿它们上车吧。,"那几本书实在太重了,我帮你把它们拿上车吧。","那几本书实在太重了,我帮你拿他们上车吧。",True,True,True,False,,replace:它->他@14:15
BA-SD-026,BA-preferred,空间位移,BA,SVO,听到老师的脚步声，正在玩游戏的同学赶紧把那个手机藏起来了。,听到老师的脚步声，正在玩游戏的同学赶紧藏起来了那个手机。,"听到老师的脚步声,正在玩游戏的同学赶紧把那个手机藏起来了。","听到老师的脚步声,正在玩游戏的同学赶紧藏起来了那个手机。",True,False,False,False,,
BA-SD-027,BA-preferred,空间位移,BA,SVO,办公室里的那台旧打印机坏了，刚才管理员把那台打印机搬走了。,办公室里的那台旧打印机坏了，刚才管理员搬走了那台打印机。,"办公室里的那台旧打印机坏了,刚才管理员把那台打印机搬走了。","办公室里的那台旧打印机坏了,刚才管理员搬走了那台打印机。",True,False,False,False,,
BA-SD-028,BA-preferred,空间位移,BA,SVO,天气突然变热了，我把那件裙子拿出来了。,天气突然变热了，我拿出了那件裙子。,"天气突然变热了,我把那件裙子拿出来了。","天气突然变热了,我拿出了那件裙子。",True,False,False,False,,
BA-SD-029,BA-preferred,空间位移,BA,SVO,快递员递给我一个大包裹，我就把那个包裹收下了。,快递员递给我一个大包裹，我就收下了那个包裹。,"快递员递给我一个大包裹,我就把那个包裹收下了。","快递员递给我一个大包裹,我就收下了那个包裹。",True,False,False,False,,
BA-SD-030,BA-preferred,空间位移,BA,SVO,课桌上堆了很多书，他为了腾出地方写作业，就把那几本书拿开了。,课桌上堆了很多书，他为了腾出地方写作业，就拿开了那几本书。,"课桌上堆了很多书,他为了腾出地方写作业,就把那几本书拿开了。","课桌上堆了很多书,他为了腾出地方写作业,就拿开了那几本书。",True,False,False,False,,
BA-SD-031,BA-preferred,空间位移,BA,SVO,桌子上的书太乱了，我刚才把它们收起来了。,桌子上的书太乱了，我刚才收起它们来了。,"桌子上的书太乱了,我刚才把它们收起来了。","桌子上的书太乱了,我刚才收起他们来了。",True,True,True,False,,replace:它->他@14:15
BA-SD-032,BA-preferred,空间位移,BA,SVO,刚放学回家，他一进门就觉得非常累，马上把那个沉重的书包放下了。,刚放学回家，他一进门就觉得非常累，马上放下了那个沉重的书包。,"刚放学回家,他一进门就觉得非常累,马上把那个沉重的书包放下了。","刚放学回家,他一进门就觉得非常累,马上放下了那个沉重的书包。",True,False,False,False,,
BA-SD-033,BA-preferred,空间位移,BA,SVO,桌子上的这幅画很漂亮，爸爸决定明天把它挂起来。,桌子上的这幅画很漂亮，爸爸决定明天挂起它来。,"桌子上的这幅画很漂亮,爸爸决定明天把它挂起来。","桌子上的这幅画很漂亮,爸爸决定明天挂起它来。",True,False,False,False,,
BA-SD-034,BA-preferred,空间位移,BA,SVO,昨天天气非常晴朗，奶奶一大早就打开门把那床厚被子抱出去了。,昨天天气非常晴朗，奶奶一大早就打开门抱出去了那床厚被子。,"昨天天气非常晴朗,奶奶一大早就打开门把那床厚被子抱出去了。","昨天天气非常晴朗,奶奶一大早就打开门抱出去了那床厚被子。",True,False,False,False,,
BA-SD-035,BA-preferred,空间位移,BA,SVO,口袋里的硬币掉出来了，我捡起来，又把它装回去了。,口袋里的硬币掉出来了，我捡起来，又装它回去了。,"口袋里的硬币掉出来了,我捡起来,又把它装回去了。","口袋里的硬币掉出来了,我捡起来,又装他回去了。",True,True,True,False,,replace:它->他@18:19
BA-SD-036,BA-preferred,空间位移,BA,SVO,墙角的那盆花因为没有阳光快要枯萎了，我赶紧把那盆花移出来了。,墙角的那盆花因为没有阳光快要枯萎了，我赶紧移出来了那盆花。,"墙角的那盆花因为没有阳光快要枯萎了,我赶紧把那盆花移出来了。","墙角的那盆花因为没有阳光快要枯萎了,我赶紧移出来了那盆花。",True,False,False,False,,
BA-SD-037,BA-preferred,空间位移,BA,SVO,这盆花需要阳光，今天早上我把它搬到阳台上了。,这盆花需要阳光，今天早上我搬它到阳台上了。,"这盆花需要阳光,今天早上我把它搬到阳台上了。","这盆花需要阳光,今天早上我搬他到阳台上了。",True,True,True,False,,replace:它->他@14:15
BA-SD-038,BA-preferred,空间位移,BA,SVO,银行卡掉在了沙发缝里，我找了半天，终于伸手把那张银行卡拿出来了。,银行卡掉在了沙发缝里，我找了半天，终于伸手拿出来了那张银行卡。,"银行卡掉在了沙发缝里,我找了半天,终于伸手把那张银行卡拿出来了。","银行卡掉在了沙发缝里,我找了半天,终于伸手拿出来了那张银行卡。",True,False,False,False,,
BA-SD-039,BA-preferred,空间位移,BA,SVO,抽屉里的那份合同很重要，我把它拿出来了。,抽屉里的那份合同很重要，我拿出它来了。,"革单里的那份合同很重要,我把它拿出来了。","衣柜里的那份合同很重要,我拿出它来了。",False,True,False,False,replace:抽屉->革单@0:2,replace:抽屉->衣柜@0:2
BA-SD-040,BA-preferred,空间位移,BA,SVO,厨房里的垃圾味道太大了，我早上出门去上班时顺便把那袋垃圾带出去了。,厨房里的垃圾味道太大了，我早上出门去上班时顺便带出去了那袋垃圾。,"厨房里的垃圾味道太大了,我早上出门去上班时顺便把那袋垃圾带出去了。","厨房里的垃圾味道太大了,我早上出门去上班时顺便带出去了那袋垃圾。",True,False,False,False,,
BA-SD-041,BA-preferred,空间位移,BA,SVO,门口的那袋垃圾发臭了，我上班时顺手把它带下楼了。,门口的那袋垃圾发臭了，我上班时顺手带它下楼了。,"门口的那袋垃圾发臭了,我上班时顺手把它带下楼了。","门口的那袋垃圾发臭了,我上班时顺手带他下楼了。",True,True,True,False,,replace:它->他@18:19
BA-SD-042,BA-preferred,空间位移,BA,SVO,这些明信片是给朋友的，我明天去邮局把它们寄出去。,这些明信片是给朋友的，我明天去邮局寄出去它们。,"这些明信片是给朋友的,我明天去邮局把它们寄出去。","这些明信片是给朋友的,我明天去邮局寄出去它们。",True,False,False,False,,
