global_test_id,block,context_status,source_context_preference,subcondition_no,subcondition_label,original_item_no,pair_id,block_pair_id,test_unit_no,construction_candidate,preference_in_source_context,prompt_for_surprisal,target_continuation,full_test_sentence,source_prompt_with_context,local_prefix_no_context,notes,row_id,sentence_for_t5,is_contextualized,is_contextless,gold_is_nonpreferred,gold_is_preferred,t5_corrected,t5_details,t5_num_reported_edits,input_norm,t5_corrected_norm,t5_raw_changed,t5_substantive_changed,t5_accepted_no_substantive_edit,t5_edit_distance_norm,t5_edit_summary,paired_preferred_sentence,paired_preferred_norm,t5_corrected_to_paired_preferred
T0024,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,12,BA-PC-012,BA-CTX-PC-012,2,SVO,non-preferred,汤里掉进了一只苍蝇，我只能,倒了它,汤里掉进了一只苍蝇，我只能倒了它。,汤里掉进了一只苍蝇，我只能,我只能,,23,汤里掉进了一只苍蝇，我只能倒了它。,True,False,True,False,"汤里掉进了一只苍蝇,我只能倒了它。",,,"汤里掉进了一只苍蝇,我只能倒了它","汤里掉进了一只苍蝇,我只能倒了它",True,False,True,0,,汤里掉进了一只苍蝇，我只能把它倒了。,"汤里掉进了一只苍蝇,我只能把它倒了",False
T0025,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,13,BA-PC-013,BA-CTX-PC-013,1,BA,preferred,这张照片拍得不好看，我,把它删了,这张照片拍得不好看，我把它删了。,这张照片拍得不好看，我,我,,24,这张照片拍得不好看，我把它删了。,True,False,False,True,"这张照片拍得不好看,我把它删了。",,,"这张照片拍得不好看,我把它删了","这张照片拍得不好看,我把它删了",True,False,True,0,,这张照片拍得不好看，我把它删了。,"这张照片拍得不好看,我把它删了",False
T0026,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,13,BA-PC-013,BA-CTX-PC-013,2,SVO,non-preferred,这张照片拍得不好看，我,删了它,这张照片拍得不好看，我删了它。,这张照片拍得不好看，我,我,,25,这张照片拍得不好看，我删了它。,True,False,True,False,"这张照片拍得不好看,我删了它。",,,"这张照片拍得不好看,我删了它","这张照片拍得不好看,我删了它",True,False,True,0,,这张照片拍得不好看，我把它删了。,"这张照片拍得不好看,我把它删了",False
T0027,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,14,BA-PC-014,BA-CTX-PC-014,1,BA,preferred,那盘饺子不能剩下，弟弟刚刚,把它吃掉了,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,那盘饺子不能剩下，弟弟刚刚,弟弟刚刚,,26,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,True,False,False,True,"那盘饺子不能剩下,弟弟刚刚把它吃掉了。",,,"那盘饺子不能剩下,弟弟刚刚把它吃掉了","那盘饺子不能剩下,弟弟刚刚把它吃掉了",True,False,True,0,,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,"那盘饺子不能剩下,弟弟刚刚把它吃掉了",False
T0028,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,14,BA-PC-014,BA-CTX-PC-014,2,SVO,non-preferred,那盘饺子不能剩下，弟弟刚刚,吃掉了它,那盘饺子不能剩下，弟弟刚刚吃掉了它。,那盘饺子不能剩下，弟弟刚刚,弟弟刚刚,,27,那盘饺子不能剩下，弟弟刚刚吃掉了它。,True,False,True,False,"那盘饺子不能剩下,弟弟刚刚吃掉了它。",,,"那盘饺子不能剩下,弟弟刚刚吃掉了它","那盘饺子不能剩下,弟弟刚刚吃掉了它",True,False,True,0,,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,"那盘饺子不能剩下,弟弟刚刚把它吃掉了",False
T0029,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,15,BA-PC-015,BA-CTX-PC-015,1,BA,preferred,这个包裹的胶带太紧了，我,把它剪开了,这个包裹的胶带太紧了，我把它剪开了。,这个包裹的胶带太紧了，我,我,,28,这个包裹的胶带太紧了，我把它剪开了。,True,False,False,True,"这个包裹的胶带太紧了,我把它剪开了。",,,"这个包裹的胶带太紧了,我把它剪开了","这个包裹的胶带太紧了,我把它剪开了",True,False,True,0,,这个包裹的胶带太紧了，我把它剪开了。,"这个包裹的胶带太紧了,我把它剪开了",False
T0030,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,15,BA-PC-015,BA-CTX-PC-015,2,SVO,non-preferred,这个包裹的胶带太紧了，我,剪开了它,这个包裹的胶带太紧了，我剪开了它。,这个包裹的胶带太紧了，我,我,,29,这个包裹的胶带太紧了，我剪开了它。,True,False,True,False,"这个包裹的胶带太紧了,我剪开了它。",,,"这个包裹的胶带太紧了,我剪开了它","这个包裹的胶带太紧了,我剪开了它",True,False,True,0,,这个包裹的胶带太紧了，我把它剪开了。,"这个包裹的胶带太紧了,我把它剪开了",False
T0031,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,16,BA-PC-016,BA-CTX-PC-016,1,BA,preferred,这件衣服破了一个洞，妈妈已经,把它缝好了,这件衣服破了一个洞，妈妈已经把它缝好了。,这件衣服破了一个洞，妈妈已经,妈妈已经,,30,这件衣服破了一个洞，妈妈已经把它缝好了。,True,False,False,True,"这件衣服破了一个洞,妈妈已经把它缝好了。",,,"这件衣服破了一个洞,妈妈已经把它缝好了","这件衣服破了一个洞,妈妈已经把它缝好了",True,False,True,0,,这件衣服破了一个洞，妈妈已经把它缝好了。,"这件衣服破了一个洞,妈妈已经把它缝好了",False
T0032,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,16,BA-PC-016,BA-CTX-PC-016,2,SVO,non-preferred,这件衣服破了一个洞，妈妈已经,缝好了它,这件衣服破了一个洞，妈妈已经缝好了它。,这件衣服破了一个洞，妈妈已经,妈妈已经,,31,这件衣服破了一个洞，妈妈已经缝好了它。,True,False,True,False,"这件衣服破了一个洞,妈妈已经缝好了它。",,,"这件衣服破了一个洞,妈妈已经缝好了它","这件衣服破了一个洞,妈妈已经缝好了它",True,False,True,0,,这件衣服破了一个洞，妈妈已经把它缝好了。,"这件衣服破了一个洞,妈妈已经把它缝好了",False
T0033,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,17,BA-PC-017,BA-CTX-PC-017,1,BA,preferred,那个面包已经发霉了，我早上,把它丢掉了,那个面包已经发霉了，我早上把它丢掉了。,那个面包已经发霉了，我早上,我早上,,32,那个面包已经发霉了，我早上把它丢掉了。,True,False,False,True,"那个面包已经发霉了,我早上把它丢掉了。",,,"那个面包已经发霉了,我早上把它丢掉了","那个面包已经发霉了,我早上把它丢掉了",True,False,True,0,,那个面包已经发霉了，我早上把它丢掉了。,"那个面包已经发霉了,我早上把它丢掉了",False
T0034,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,17,BA-PC-017,BA-CTX-PC-017,2,SVO,non-preferred,那个面包已经发霉了，我早上,丢掉了它,那个面包已经发霉了，我早上丢掉了它。,那个面包已经发霉了，我早上,我早上,,33,那个面包已经发霉了，我早上丢掉了它。,True,False,True,False,"那个面包已经发霉了,我早上丢掉了它。",,,"那个面包已经发霉了,我早上丢掉了它","那个面包已经发霉了,我早上丢掉了它",True,False,True,0,,那个面包已经发霉了，我早上把它丢掉了。,"那个面包已经发霉了,我早上把它丢掉了",False
T0035,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,18,BA-PC-018,BA-CTX-PC-018,1,BA,preferred,这碗汤实在太咸了，我加了一些水,把它冲淡了,这碗汤实在太咸了，我加了一些水把它冲淡了。,这碗汤实在太咸了，我加了一些水,我加了一些水,,34,这碗汤实在太咸了，我加了一些水把它冲淡了。,True,False,False,True,"这碗汤实在太咸了,我加了一些水把它冲淡了。",,,"这碗汤实在太咸了,我加了一些水把它冲淡了","这碗汤实在太咸了,我加了一些水把它冲淡了",True,False,True,0,,这碗汤实在太咸了，我加了一些水把它冲淡了。,"这碗汤实在太咸了,我加了一些水把它冲淡了",False
T0036,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,18,BA-PC-018,BA-CTX-PC-018,2,SVO,non-preferred,这碗汤实在太咸了，我加了一些水,冲淡了它,这碗汤实在太咸了，我加了一些水冲淡了它。,这碗汤实在太咸了，我加了一些水,我加了一些水,,35,这碗汤实在太咸了，我加了一些水冲淡了它。,True,False,True,False,"这碗汤实在太咸了,我加了一些水冲淡了它。",,,"这碗汤实在太咸了,我加了一些水冲淡了它","这碗汤实在太咸了,我加了一些水冲淡了它",True,False,True,0,,这碗汤实在太咸了，我加了一些水把它冲淡了。,"这碗汤实在太咸了,我加了一些水把它冲淡了",False
T0037,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,19,BA-PC-019,BA-CTX-PC-019,1,BA,preferred,厨房的窗户太脏了，我用抹布,把它擦干净了,厨房的窗户太脏了，我用抹布把它擦干净了。,厨房的窗户太脏了，我用抹布,我用抹布,,36,厨房的窗户太脏了，我用抹布把它擦干净了。,True,False,False,True,"厨房的窗户太脏了,我用抹布把它擦干净了。",,,"厨房的窗户太脏了,我用抹布把它擦干净了","厨房的窗户太脏了,我用抹布把它擦干净了",True,False,True,0,,厨房的窗户太脏了，我用抹布把它擦干净了。,"厨房的窗户太脏了,我用抹布把它擦干净了",False
T0038,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,19,BA-PC-019,BA-CTX-PC-019,2,SVO,non-preferred,厨房的窗户太脏了，我用抹布,擦干净了它,厨房的窗户太脏了，我用抹布擦干净了它。,厨房的窗户太脏了，我用抹布,我用抹布,,37,厨房的窗户太脏了，我用抹布擦干净了它。,True,False,True,False,"厨房的窗户太脏了,我用抹布擦干净了它。",,,"厨房的窗户太脏了,我用抹布擦干净了它","厨房的窗户太脏了,我用抹布擦干净了它",True,False,True,0,,厨房的窗户太脏了，我用抹布把它擦干净了。,"厨房的窗户太脏了,我用抹布把它擦干净了",False
T0039,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,20,BA-PC-020,BA-CTX-PC-020,1,BA,preferred,这个西瓜太大了，我一个人吃不完，先用刀,把它切开了,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,这个西瓜太大了，我一个人吃不完，先用刀,我先用刀,,38,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,True,False,False,True,"这个西瓜太大了,我一个人吃不完,先用刀把它切开了。",,,"这个西瓜太大了,我一个人吃不完,先用刀把它切开了","这个西瓜太大了,我一个人吃不完,先用刀把它切开了",True,False,True,0,,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,"这个西瓜太大了,我一个人吃不完,先用刀把它切开了",False
T0040,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,20,BA-PC-020,BA-CTX-PC-020,2,SVO,non-preferred,这个西瓜太大了，我一个人吃不完，先用刀,切开了它,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,这个西瓜太大了，我一个人吃不完，先用刀,我先用刀,,39,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,True,False,True,False,"这个西瓜太大了,我一个人吃不完,先用刀切开了它。",,,"这个西瓜太大了,我一个人吃不完,先用刀切开了它","这个西瓜太大了,我一个人吃不完,先用刀切开了它",True,False,True,0,,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,"这个西瓜太大了,我一个人吃不完,先用刀把它切开了",False
T0041,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,21,BA-PC-021,BA-CTX-PC-021,1,BA,preferred,那张画被妹妹涂得乱七八糟，我只能,把它扔了,那张画被妹妹涂得乱七八糟，我只能把它扔了。,那张画被妹妹涂得乱七八糟，我只能,我只能,,40,那张画被妹妹涂得乱七八糟，我只能把它扔了。,True,False,False,True,"那张画被妹妹涂得乱七八糟,我只能把它扔了。",,,"那张画被妹妹涂得乱七八糟,我只能把它扔了","那张画被妹妹涂得乱七八糟,我只能把它扔了",True,False,True,0,,那张画被妹妹涂得乱七八糟，我只能把它扔了。,"那张画被妹妹涂得乱七八糟,我只能把它扔了",False
T0042,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,21,BA-PC-021,BA-CTX-PC-021,2,SVO,non-preferred,那张画被妹妹涂得乱七八糟，我只能,扔了它,那张画被妹妹涂得乱七八糟，我只能扔了它。,那张画被妹妹涂得乱七八糟，我只能,我只能,,41,那张画被妹妹涂得乱七八糟，我只能扔了它。,True,False,True,False,"那张画被妹妹涂得乱七八糟,我只能扔了它。",,,"那张画被妹妹涂得乱七八糟,我只能扔了它","那张画被妹妹涂得乱七八糟,我只能扔了它",True,False,True,0,,那张画被妹妹涂得乱七八糟，我只能把它扔了。,"那张画被妹妹涂得乱七八糟,我只能把它扔了",False
T0043,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,22,BA-PC-022,BA-CTX-PC-022,1,BA,preferred,昨天买的肉还没吃，为了保鲜，我先,把它冻起来了,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,昨天买的肉还没吃，为了保鲜，我先,我先,,42,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,True,False,False,True,"昨天买的肉还没吃,为了保鲜,我先把它冻起来了。",,,"昨天买的肉还没吃,为了保鲜,我先把它冻起来了","昨天买的肉还没吃,为了保鲜,我先把它冻起来了",True,False,True,0,,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,"昨天买的肉还没吃,为了保鲜,我先把它冻起来了",False
T0044,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,22,BA-PC-022,BA-CTX-PC-022,2,SVO,non-preferred,昨天买的肉还没吃，为了保鲜，我先,冻起来了它,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,昨天买的肉还没吃，为了保鲜，我先,我先,,43,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,True,False,True,False,"昨天买的肉还没吃,为了保鲜,我先冻起来了它。",,,"昨天买的肉还没吃,为了保鲜,我先冻起来了它","昨天买的肉还没吃,为了保鲜,我先冻起来了它",True,False,True,0,,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,"昨天买的肉还没吃,为了保鲜,我先把它冻起来了",False
