global_test_id,context_status,source_context_preference,subcondition_label,pair_id,construction_candidate,preference_in_source_context,sentence_for_t5,t5_corrected,t5_edit_distance_norm,t5_edit_summary,t5_details,t5_corrected_to_paired_preferred
T0265,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-033,BA,non-preferred,为了保持皮肤健康，她每天都要把防晒霜涂了。,"为了保持皮肤健康,她每天都要把防晒涂了。",1,delete:霜->@17:18,,False
T0266,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-033,SVO,preferred,为了保持皮肤健康，她每天都要涂防晒霜。,"为了保持皮肤健康,她每天都要涂防晒。",1,delete:霜->@17:18,,False
T0272,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-036,SVO,preferred,每天早上起床后，他都会在厨房做早饭。,"每天早上起床后,她都会在厨房做早饭。",1,replace:他->她@8:9,,False
T0278,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-039,SVO,preferred,只要是周末，爸爸都会坐在沙发上看报纸。,"只要是周末,爸爸都会坐在沙发上看电视。",2,replace:报纸->电视@16:18,,False
T0315,有语境,SVO-preferred,叙述经历和日程,SVO-NS-008,BA,non-preferred,经理先开了一个早会，然后回到办公室，开始把那份年终报告写了。,"经理先开了一个早餐,然后回到办公室,开始把那份年终报告写了。",1,replace:会->餐@8:9,,False
T0316,有语境,SVO-preferred,叙述经历和日程,SVO-NS-008,SVO,preferred,经理先开了一个早会，然后回到办公室，开始写那份年终报告。,"经理先开了一个早餐,然后回到办公室,开始写那份年终报告。",1,replace:会->餐@8:9,,False
T0347,有语境,SVO-preferred,叙述经历和日程,SVO-NS-024,BA,non-preferred,他今天起得很早，洗漱完以后走到阳台，看着外面的风景安静地把那杯温水喝了。,"他今天起得很早,洗澡完以后走到阳台,看着外面的风景安静地把那杯温水喝了。",1,replace:漱->澡@9:10,,False
T0348,有语境,SVO-preferred,叙述经历和日程,SVO-NS-024,SVO,preferred,他今天起得很早，洗漱完以后走到阳台，看着外面的风景安静地喝了一杯温水。,"他今天起得很早,洗澡完以后走到阳台,看着外面的风景安静地喝了一杯温水。",1,replace:漱->澡@9:10,,False
T0377,有语境,SVO-preferred,叙述经历和日程,SVO-NS-039,BA,non-preferred,昨天面试的时候，他先介绍了自己，然后回答了问题，最后给面试官把那份简历留下了。,"昨天面试的时候,他先介绍了自己,然后回答了问题,最后给面试官把那份履历留下了。",1,replace:简->履@33:34,,False
T0378,有语境,SVO-preferred,叙述经历和日程,SVO-NS-039,SVO,preferred,昨天面试的时候，他先介绍了自己，然后回答了问题，最后给面试官留下了一份简历。,"昨天面试的时候,他先介绍了自己,然后回答了问题,最后给面试官留下了一份履历。",1,replace:简->履@35:36,,False
T0384,有语境,SVO-preferred,叙述经历和日程,SVO-NS-042,SVO,preferred,陪奶奶去医院看病，我们先排队挂号，看完医生后去一楼买了几盒感冒药。,"陪奶奶去医院看病,我们先排队挂号,看完医生后去一楼买了几颗感冒药。",1,replace:盒->颗@28:29,,False
T0385,有语境,SVO-preferred,叙述经历和日程,SVO-NS-043,BA,non-preferred,打开包裹后，她先看了看说明书，然后小心地从盒子里把那个新手机拿出来了。,"打开包裹后,她先看了一下说明书,然后小心地从盒子里把那个新手机拿出来了。",2,replace:看->一下@10:11,,False
T0386,有语境,SVO-preferred,叙述经历和日程,SVO-NS-043,SVO,preferred,打开包裹后，她先看了看说明书，然后小心地从盒子里拿出来了一个新手机。,"打开包裹后,她先看了一下说明书,然后小心地从盒子里拿出来了一个新手机。",2,replace:看->一下@10:11,,False
T0397,有语境,SVO-preferred,叙述经历和日程,SVO-NS-049,BA,non-preferred,她拆开信封，拿出信纸，坐在桌子前认真地把这封信读了一遍。,"她拆开信封,拿出信纸,坐在桌子前认真地把这封信读了一通。",1,replace:遍->通@26:27,,False
T0398,有语境,SVO-preferred,叙述经历和日程,SVO-NS-049,SVO,preferred,她拆开信封，拿出信纸，坐在桌子前认真地读了一遍这封信。,"她拆开信封,拿出信纸,坐在桌子前认真地读一遍这封信。",1,delete:了->@20:21,,False
T0399,有语境,SVO-preferred,叙述经历和日程,SVO-NS-050,BA,non-preferred,晚上加完班回到家，他先洗了一个热水澡，然后躺在沙发上把那首老歌听了一遍。,"晚上加完班回到家,他先洗了一个热水澡,然后躺在沙发上把那首老歌听了一下。",1,replace:遍->下@34:35,,False
T0400,有语境,SVO-preferred,叙述经历和日程,SVO-NS-050,SVO,preferred,晚上加完班回到家，他先洗了一个热水澡，然后躺在沙发上听了一遍那首老歌。,"晚上加完班回到家,他先洗了一个热水澡,然后躺在沙发上听了一下那首老歌。",1,replace:遍->下@29:30,,False
T0401,无语境,BA-preferred,物理状态改变,BA-PC-001,BA,preferred,我把它扔了。,我把她扔了。,1,replace:它->她@2:3,,False
T0404,无语境,BA-preferred,物理状态改变,BA-PC-002,SVO,non-preferred,弟弟刚才加热了它。,弟弟刚才加热了她。,1,replace:它->她@7:8,,False
T0405,无语境,BA-preferred,物理状态改变,BA-PC-003,BA,preferred,我昨天把它洗干净了。,我昨天把它洗掉了。,2,replace:干净->掉@6:8,,False
T0406,无语境,BA-preferred,物理状态改变,BA-PC-003,SVO,non-preferred,我昨天洗干净了它。,我昨天清洗干净了它。,1,insert:->清@3:3,,False
T0411,无语境,BA-preferred,物理状态改变,BA-PC-006,BA,preferred,我把它撕了。,我把她撕了。,1,replace:它->她@2:3,,False
T0413,无语境,BA-preferred,物理状态改变,BA-PC-007,BA,preferred,我准备把它卖了。,我准备把它买了。,1,replace:卖->买@5:6,,False
T0414,无语境,BA-preferred,物理状态改变,BA-PC-007,SVO,non-preferred,我准备卖了它。,我准备买了他。,2,replace:卖->买@3:4 | replace:它->他@5:6,,False
T0418,无语境,BA-preferred,物理状态改变,BA-PC-009,SVO,non-preferred,幸好我抓住了它。,幸好我找到了他。,3,replace:抓住->找到@3:5 | replace:它->他@6:7,,False
T0419,无语境,BA-preferred,物理状态改变,BA-PC-010,BA,preferred,我把它关了。,我把她关了。,1,replace:它->她@2:3,,False
T0420,无语境,BA-preferred,物理状态改变,BA-PC-010,SVO,non-preferred,我关了它。,我关了她。,1,replace:它->她@3:4,,False
T0422,无语境,BA-preferred,物理状态改变,BA-PC-011,SVO,non-preferred,昨天我换了它。,昨天我换了他。,1,replace:它->他@5:6,,False
T0424,无语境,BA-preferred,物理状态改变,BA-PC-012,SVO,non-preferred,我只能倒了它。,我只能到了它。,1,replace:倒->到@3:4,,False
T0425,无语境,BA-preferred,物理状态改变,BA-PC-013,BA,preferred,我把它删了。,我把她删了。,1,replace:它->她@2:3,,False
T0426,无语境,BA-preferred,物理状态改变,BA-PC-013,SVO,non-preferred,我删了它。,我删了他。,1,replace:它->他@3:4,,False
T0428,无语境,BA-preferred,物理状态改变,BA-PC-014,SVO,non-preferred,弟弟刚刚吃掉了它。,弟弟刚刚吃掉了他。,1,replace:它->他@7:8,,False
T0430,无语境,BA-preferred,物理状态改变,BA-PC-015,SVO,non-preferred,我剪开了它。,我剪开了他。,1,replace:它->他@4:5,,False
T0431,无语境,BA-preferred,物理状态改变,BA-PC-016,BA,preferred,妈妈已经把它缝好了。,妈妈已经把她缝好了。,1,replace:它->她@5:6,,False
T0432,无语境,BA-preferred,物理状态改变,BA-PC-016,SVO,non-preferred,妈妈已经缝好了它。,妈妈已经缝好了她。,1,replace:它->她@7:8,,False
T0434,无语境,BA-preferred,物理状态改变,BA-PC-017,SVO,non-preferred,我早上丢掉了它。,我早上丢掉了他。,1,replace:它->他@6:7,,False
T0442,无语境,BA-preferred,物理状态改变,BA-PC-021,SVO,non-preferred,我只能扔了它。,我只能扔了他的。,2,replace:它->他的@5:6,,False
T0449,无语境,BA-preferred,物理状态改变,BA-PC-025,BA,preferred,他用打火机把它烧了。,她用打火机把它烧了。,1,replace:他->她@0:1,,False
T0454,无语境,BA-preferred,物理状态改变,BA-PC-027,SVO,non-preferred,爸爸用锤子拔出它来了。,爸爸用锤子拔出他来了。,1,replace:它->他@7:8,,False
T0460,无语境,BA-preferred,物理状态改变,BA-PC-030,SVO,non-preferred,我一脚踩扁了它。,我一脚踩扁了他。,1,replace:它->他@6:7,,False
T0464,无语境,BA-preferred,物理状态改变,BA-PC-032,SVO,non-preferred,弟弟拿针一戳就扎破了它。,弟弟拿针一戳就扎破了她。,1,replace:它->她@10:11,,False
T0465,无语境,BA-preferred,物理状态改变,BA-PC-033,BA,preferred,我昨天去理发店把它剪短了。,我昨天去理发店把她剪短了。,1,replace:它->她@8:9,,False
T0466,无语境,BA-preferred,物理状态改变,BA-PC-033,SVO,non-preferred,我昨天去理发店剪短了它。,我昨天去理发店剪短了她。,1,replace:它->她@10:11,,False
T0468,无语境,BA-preferred,物理状态改变,BA-PC-034,SVO,non-preferred,我只好折起它来了。,我只好折起他来了。,1,replace:它->他@5:6,,False
T0469,无语境,BA-preferred,物理状态改变,BA-PC-035,BA,preferred,我用小刀重新把它削尖了。,我用小刀重新把它削肩了。,1,replace:尖->肩@9:10,,False
T0470,无语境,BA-preferred,物理状态改变,BA-PC-035,SVO,non-preferred,我用小刀重新削尖了它。,我用小刀重新削肩了它。,1,replace:尖->肩@7:8,,False
T0478,无语境,BA-preferred,物理状态改变,BA-PC-039,SVO,non-preferred,你赶紧喝了它吧。,你赶紧喝了他吧。,1,replace:它->他@5:6,,False
T0482,无语境,BA-preferred,物理状态改变,BA-PC-041,SVO,non-preferred,妈妈拿出去晒干了它。,妈妈拿出去晒干了她。,1,replace:它->她@8:9,,False
T0484,无语境,BA-preferred,物理状态改变,BA-PC-042,SVO,non-preferred,爷爷用钉子加固了它。,爷爷用钉子加固了她。,1,replace:它->她@8:9,,False
T0486,无语境,BA-preferred,物理状态改变,BA-PC-043,SVO,non-preferred,昨天裁缝改短了它。,昨天裁缝改短了她。,1,replace:它->她@7:8,,False
T0487,无语境,BA-preferred,物理状态改变,BA-PC-044,BA,preferred,我就把它缩短了。,我就怕他缩短了。,2,replace:把它->怕他@2:4,,False
T0488,无语境,BA-preferred,物理状态改变,BA-PC-044,SVO,non-preferred,我就缩短了它。,我我就缩短了她。,2,insert:->我@0:0 | replace:它->她@5:6,,False
T0489,无语境,BA-preferred,物理状态改变,BA-PC-045,BA,preferred,修车师傅把它补好了。,修车师傅把他补好了。,1,replace:它->他@5:6,,False
T0490,无语境,BA-preferred,物理状态改变,BA-PC-045,SVO,non-preferred,修车师傅补好了它。,修车师傅补好了他。,1,replace:它->他@7:8,,False
T0492,无语境,BA-preferred,物理状态改变,BA-PC-046,SVO,non-preferred,我就倒掉它了。,我就倒掉他了。,1,replace:它->他@4:5,,False
T0494,无语境,BA-preferred,物理状态改变,BA-PC-047,SVO,non-preferred,我现在已经烤熟它了。,我现在已经烤熟他了。,1,replace:它->他@7:8,,False
T0496,无语境,BA-preferred,物理状态改变,BA-PC-048,SVO,non-preferred,他包起它来了。,他抱起他来了。,2,replace:包->抱@1:2 | replace:它->他@3:4,,False
T0498,无语境,BA-preferred,物理状态改变,BA-PC-049,SVO,non-preferred,我伸手关掉它了。,我伸手关掉他了。,1,replace:它->他@5:6,,False
T0500,无语境,BA-preferred,物理状态改变,BA-PC-050,SVO,non-preferred,你快点吃了它吧。,你快点吃了他吧。,1,replace:它->他@5:6,,False
T0501,无语境,BA-preferred,空间位移,BA-SD-001,BA,preferred,我把它挂起来了。,我把她挂起来了。,1,replace:它->她@2:3,,False
T0502,无语境,BA-preferred,空间位移,BA-SD-001,SVO,non-preferred,我挂起它来了。,我挂起他来了。,1,replace:它->他@3:4,,False
T0503,无语境,BA-preferred,空间位移,BA-SD-002,BA,preferred,我已经把它推进来了。,我已经把他推进来了。,1,replace:它->他@4:5,,False
T0504,无语境,BA-preferred,空间位移,BA-SD-002,SVO,non-preferred,我已经推它进来了。,我已经推他进来了。,1,replace:它->他@4:5,,False
T0506,无语境,BA-preferred,空间位移,BA-SD-003,SVO,non-preferred,昨天我放它回书架了。,昨天我放他回书架了。,1,replace:它->他@4:5,,False
T0510,无语境,BA-preferred,空间位移,BA-SD-005,SVO,non-preferred,我叫人搬它上了楼。,我叫人搬他上了楼。,1,replace:它->他@4:5,,False
T0511,无语境,BA-preferred,空间位移,BA-SD-006,BA,preferred,我把它放进冰箱了。,我把她放进冰箱了。,1,replace:它->她@2:3,,False
T0512,无语境,BA-preferred,空间位移,BA-SD-006,SVO,non-preferred,我放它进了冰箱。,我放他进了冰箱。,1,replace:它->他@2:3,,False
T0513,无语境,BA-preferred,空间位移,BA-SD-007,BA,preferred,我把它捡起来了。,我把她捡起来了。,1,replace:它->她@2:3,,False
T0514,无语境,BA-preferred,空间位移,BA-SD-007,SVO,non-preferred,我捡起它来了。,我捡起他来了。,1,replace:它->他@3:4,,False
T0518,无语境,BA-preferred,空间位移,BA-SD-009,SVO,non-preferred,我丢它们到门外了。,我丢他们到门外了。,1,replace:它->他@2:3,,False
T0519,无语境,BA-preferred,空间位移,BA-SD-010,BA,preferred,老师把它擦掉了。,老师把她擦掉了。,1,replace:它->她@3:4,,False
T0520,无语境,BA-preferred,空间位移,BA-SD-010,SVO,non-preferred,老师擦掉了它。,老师擦掉了他。,1,replace:它->他@5:6,,False
T0526,无语境,BA-preferred,空间位移,BA-SD-013,SVO,non-preferred,他收起来了那张旧照片。,她收起来了那张旧照片。,1,replace:他->她@0:1,,False
T0529,无语境,BA-preferred,空间位移,BA-SD-015,BA,preferred,我把它抱回家了。,我把她抱回家了。,1,replace:它->她@2:3,,False
T0530,无语境,BA-preferred,空间位移,BA-SD-015,SVO,non-preferred,我抱它回家了。,我抱他回家了。,1,replace:它->他@2:3,,False
T0534,无语境,BA-preferred,空间位移,BA-SD-017,SVO,non-preferred,妈妈小心地放它进了篮子。,妈妈小心地放她进了篮子。,1,replace:它->她@6:7,,False
T0536,无语境,BA-preferred,空间位移,BA-SD-018,SVO,non-preferred,我上车前卷起它来了。,我上车前卷起他来了。,1,replace:它->他@6:7,,False
T0538,无语境,BA-preferred,空间位移,BA-SD-019,SVO,non-preferred,搬家公司今天早上已经运走它了。,搬家公司今天早上已经运走他了。,1,replace:它->他@12:13,,False
T0540,无语境,BA-preferred,空间位移,BA-SD-020,SVO,non-preferred,我明天下午送它过去。,我明天下午送他过去。,1,replace:它->他@6:7,,False
T0541,无语境,BA-preferred,空间位移,BA-SD-021,BA,preferred,他迅速地把那台电脑收进去了。,她迅速地把那台电脑收进去了。,1,replace:他->她@0:1,,False
T0542,无语境,BA-preferred,空间位移,BA-SD-021,SVO,non-preferred,他迅速地收进去了那台电脑。,她迅速地收进去了那台电脑。,1,replace:他->她@0:1,,False
T0544,无语境,BA-preferred,空间位移,BA-SD-022,SVO,non-preferred,环卫工人拖走了它。,环卫工人拖走了他。,1,replace:它->他@7:8,,False
T0546,无语境,BA-preferred,空间位移,BA-SD-023,SVO,non-preferred,邮递员准时放它进了信箱。,邮递员准时放他进了信箱。,1,replace:它->他@6:7,,False
T0550,无语境,BA-preferred,空间位移,BA-SD-025,SVO,non-preferred,我帮你拿它们上车吧。,我帮你拿他们上车吧。,1,replace:它->他@4:5,,False
T0560,无语境,BA-preferred,空间位移,BA-SD-030,SVO,non-preferred,他就拿开了那几本书。,她就拿开了那几本书。,1,replace:他->她@0:1,,False
T0562,无语境,BA-preferred,空间位移,BA-SD-031,SVO,non-preferred,我刚才收起它们来了。,我刚才收起他们来了。,1,replace:它->他@5:6,,False
T0566,无语境,BA-preferred,空间位移,BA-SD-033,SVO,non-preferred,爸爸决定明天挂起它来。,爸爸决定明天挂起他来。,1,replace:它->他@8:9,,False
T0569,无语境,BA-preferred,空间位移,BA-SD-035,BA,preferred,我又把它装回去了。,我又被他装回去了。,2,replace:把它->被他@2:4,,False
T0570,无语境,BA-preferred,空间位移,BA-SD-035,SVO,non-preferred,我又装它回去了。,我又装他回去了。,1,replace:它->他@3:4,,False
T0572,无语境,BA-preferred,空间位移,BA-SD-036,SVO,non-preferred,我赶紧移出来了那盆花。,我赶紧植出来了那盆花。,1,replace:移->植@3:4,,False
T0574,无语境,BA-preferred,空间位移,BA-SD-037,SVO,non-preferred,今天早上我搬它到阳台上了。,今天早上我搬他到阳台上了。,1,replace:它->他@6:7,,False
T0577,无语境,BA-preferred,空间位移,BA-SD-039,BA,preferred,我把它拿出来了。,我把她拿出来了。,1,replace:它->她@2:3,,False
T0578,无语境,BA-preferred,空间位移,BA-SD-039,SVO,non-preferred,我拿出它来了。,我拿出他来了。,1,replace:它->他@3:4,,False
T0582,无语境,BA-preferred,空间位移,BA-SD-041,SVO,non-preferred,我上班时顺手带它下楼了。,我上班时顺手带他下楼了。,1,replace:它->他@7:8,,False
T0588,无语境,BA-preferred,空间位移,BA-SD-044,SVO,non-preferred,你一定要收好它。,你一定要收好他。,1,replace:它->他@6:7,,False
T0590,无语境,BA-preferred,空间位移,BA-SD-045,SVO,non-preferred,原来是有同学下课后拿走它了。,原来是有同学下课后拿走他了。,1,replace:它->他@11:12,,False
T0591,无语境,BA-preferred,空间位移,BA-SD-046,BA,preferred,我走过去轻轻地把它推上了。,我走过去慢慢地把它推上了。,2,replace:轻轻->慢慢@4:6,,False
T0596,无语境,BA-preferred,空间位移,BA-SD-048,SVO,non-preferred,警察昨天拆下它来了。,警察昨天拆下他来了。,1,replace:它->他@6:7,,False
T0598,无语境,BA-preferred,空间位移,BA-SD-049,SVO,non-preferred,你能帮忙端它过来吗？,你能帮忙端他过来吗?,1,replace:它->他@5:6,,False
T0602,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-001,SVO,preferred,弟弟每天下午都去操场踢足球。,而且每天下午都去操场踢足球。,2,replace:弟弟->而且@0:2,,False
T0606,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-003,SVO,preferred,她回家的第一件事就是坐在沙发上看书。,他回家的第一件事就是坐在沙发上看书。,1,replace:她->他@0:1,,False
T0608,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-004,SVO,preferred,工人们每天中午十二点都会准时去食堂吃午饭。,工人们每天中午十二点都会准时去食堂吃晚饭。,1,replace:午->晚@18:19,,False
T0611,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-006,BA,non-preferred,我只把白开水喝了。,我只把矿泉水喝了。,2,replace:白开->矿泉@3:5,,False
T0612,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-006,SVO,preferred,我只喝白开水。,我只喝开水。,1,delete:白->@3:4,,False
T0614,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-007,SVO,preferred,他每天在图书馆背单词。,他每天在图书馆学英语。,3,replace:背单词->学英语@7:10,,False
T0632,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-016,SVO,preferred,她每次去超市都习惯推着车子买零食。,他每次去超市都习惯推着车子买零食。,1,replace:她->他@0:1,,False
T0653,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-027,BA,non-preferred,弟弟每天下午做完作业后都会用平板电脑把游戏玩了。,弟弟每天下午做完作业后都会用平板电脑把游戏完了。,1,replace:玩->完@21:22,,False
T0654,无语境,SVO-preferred,习惯性动作与泛指,SVO-HG-027,SVO,preferred,弟弟每天下午做完作业后都会用平板电脑玩游戏。,而她每天下午做完作业后都会用平板电脑玩游戏。,2,replace:弟弟->而她@0:2,,False
