global_test_id,block,context_status,source_context_preference,subcondition_no,subcondition_label,item_no,pair_id,block_pair_id,test_unit_no,construction_candidate,preference_in_source_context,prompt_for_surprisal,target_continuation,full_test_sentence,source_prompt_with_context,local_prefix_no_context,notes,gold_is_error,gold_label,sentence_for_macbert,macbert_corrected,macbert_errors_json,macbert_num_errors,macbert_accepted_no_edit,macbert_predicted_error
T0014,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,7,BA-PC-007,BA-CTX-PC-007,2,SVO,non-preferred,这个旧手机没用了，我准备,卖了它,这个旧手机没用了，我准备卖了它。,这个旧手机没用了，我准备,我准备,,True,infelicitous,这个旧手机没用了，我准备卖了它。,这个旧手机没用了，我准备卖了它。,[],0,True,False
T0015,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,8,BA-PC-008,BA-CTX-PC-008,1,BA,preferred,这封信是写给你的，我,把它拆开了,这封信是写给你的，我把它拆开了。,这封信是写给你的，我,我,,False,felicitous,这封信是写给你的，我把它拆开了。,这封信是写给你的，我把它拆开了。,[],0,True,False
T0016,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,8,BA-PC-008,BA-CTX-PC-008,2,SVO,non-preferred,这封信是写给你的，我,拆开了它,这封信是写给你的，我拆开了它。,这封信是写给你的，我,我,,True,infelicitous,这封信是写给你的，我拆开了它。,这封信是写给你的，我拆开了它。,[],0,True,False
T0017,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,9,BA-PC-009,BA-CTX-PC-009,1,BA,preferred,那个花瓶快掉下来了，幸好我,把它抓住了,那个花瓶快掉下来了，幸好我把它抓住了。,那个花瓶快掉下来了，幸好我,幸好我,,False,felicitous,那个花瓶快掉下来了，幸好我把它抓住了。,那个花瓶快掉下来了，幸好我把它抓住了。,[],0,True,False
T0018,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,9,BA-PC-009,BA-CTX-PC-009,2,SVO,non-preferred,那个花瓶快掉下来了，幸好我,抓住了它,那个花瓶快掉下来了，幸好我抓住了它。,那个花瓶快掉下来了，幸好我,幸好我,,True,infelicitous,那个花瓶快掉下来了，幸好我抓住了它。,那个花瓶快掉下来了，幸好我抓住了它。,[],0,True,False
T0019,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,10,BA-PC-010,BA-CTX-PC-010,1,BA,preferred,这首曲子太吵了，我,把它关了,这首曲子太吵了，我把它关了。,这首曲子太吵了，我,我,,False,felicitous,这首曲子太吵了，我把它关了。,这首曲子太吵了，我把它关了。,[],0,True,False
T0020,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,10,BA-PC-010,BA-CTX-PC-010,2,SVO,non-preferred,这首曲子太吵了，我,关了它,这首曲子太吵了，我关了它。,这首曲子太吵了，我,我,,True,infelicitous,这首曲子太吵了，我关了它。,这首曲子太吵了，我关了它。,[],0,True,False
T0021,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,11,BA-PC-011,BA-CTX-PC-011,1,BA,preferred,我的旧电脑太慢了，昨天我,把它换了,我的旧电脑太慢了，昨天我把它换了。,我的旧电脑太慢了，昨天我,昨天我,,False,felicitous,我的旧电脑太慢了，昨天我把它换了。,我的旧电脑太慢了，昨天我把它换了。,[],0,True,False
T0022,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,11,BA-PC-011,BA-CTX-PC-011,2,SVO,non-preferred,我的旧电脑太慢了，昨天我,换了它,我的旧电脑太慢了，昨天我换了它。,我的旧电脑太慢了，昨天我,昨天我,,True,infelicitous,我的旧电脑太慢了，昨天我换了它。,我的旧电脑太慢了，昨天我换了它。,[],0,True,False
T0023,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,12,BA-PC-012,BA-CTX-PC-012,1,BA,preferred,汤里掉进了一只苍蝇，我只能,把它倒了,汤里掉进了一只苍蝇，我只能把它倒了。,汤里掉进了一只苍蝇，我只能,我只能,,False,felicitous,汤里掉进了一只苍蝇，我只能把它倒了。,汤里掉进了一只苍蝇，我只能把它倒了。,[],0,True,False
T0024,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,12,BA-PC-012,BA-CTX-PC-012,2,SVO,non-preferred,汤里掉进了一只苍蝇，我只能,倒了它,汤里掉进了一只苍蝇，我只能倒了它。,汤里掉进了一只苍蝇，我只能,我只能,,True,infelicitous,汤里掉进了一只苍蝇，我只能倒了它。,汤里掉进了一只苍蝇，我只能倒了它。,[],0,True,False
T0025,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,13,BA-PC-013,BA-CTX-PC-013,1,BA,preferred,这张照片拍得不好看，我,把它删了,这张照片拍得不好看，我把它删了。,这张照片拍得不好看，我,我,,False,felicitous,这张照片拍得不好看，我把它删了。,这张照片拍得不好看，我把它删了。,[],0,True,False
T0026,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,13,BA-PC-013,BA-CTX-PC-013,2,SVO,non-preferred,这张照片拍得不好看，我,删了它,这张照片拍得不好看，我删了它。,这张照片拍得不好看，我,我,,True,infelicitous,这张照片拍得不好看，我删了它。,这张照片拍得不好看，我删了它。,[],0,True,False
T0027,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,14,BA-PC-014,BA-CTX-PC-014,1,BA,preferred,那盘饺子不能剩下，弟弟刚刚,把它吃掉了,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,那盘饺子不能剩下，弟弟刚刚,弟弟刚刚,,False,felicitous,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,那盘饺子不能剩下，弟弟刚刚把它吃掉了。,[],0,True,False
T0028,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,14,BA-PC-014,BA-CTX-PC-014,2,SVO,non-preferred,那盘饺子不能剩下，弟弟刚刚,吃掉了它,那盘饺子不能剩下，弟弟刚刚吃掉了它。,那盘饺子不能剩下，弟弟刚刚,弟弟刚刚,,True,infelicitous,那盘饺子不能剩下，弟弟刚刚吃掉了它。,那盘饺子不能剩下，弟弟刚刚吃掉了它。,[],0,True,False
T0029,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,15,BA-PC-015,BA-CTX-PC-015,1,BA,preferred,这个包裹的胶带太紧了，我,把它剪开了,这个包裹的胶带太紧了，我把它剪开了。,这个包裹的胶带太紧了，我,我,,False,felicitous,这个包裹的胶带太紧了，我把它剪开了。,这个包裹的胶带太紧了，我把它剪开了。,[],0,True,False
T0030,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,15,BA-PC-015,BA-CTX-PC-015,2,SVO,non-preferred,这个包裹的胶带太紧了，我,剪开了它,这个包裹的胶带太紧了，我剪开了它。,这个包裹的胶带太紧了，我,我,,True,infelicitous,这个包裹的胶带太紧了，我剪开了它。,这个包裹的胶带太紧了，我剪开了它。,[],0,True,False
T0031,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,16,BA-PC-016,BA-CTX-PC-016,1,BA,preferred,这件衣服破了一个洞，妈妈已经,把它缝好了,这件衣服破了一个洞，妈妈已经把它缝好了。,这件衣服破了一个洞，妈妈已经,妈妈已经,,False,felicitous,这件衣服破了一个洞，妈妈已经把它缝好了。,这件衣服破了一个洞，妈妈已经把它缝好了。,[],0,True,False
T0032,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,16,BA-PC-016,BA-CTX-PC-016,2,SVO,non-preferred,这件衣服破了一个洞，妈妈已经,缝好了它,这件衣服破了一个洞，妈妈已经缝好了它。,这件衣服破了一个洞，妈妈已经,妈妈已经,,True,infelicitous,这件衣服破了一个洞，妈妈已经缝好了它。,这件衣服破了一个洞，妈妈已经缝好了它。,[],0,True,False
T0033,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,17,BA-PC-017,BA-CTX-PC-017,1,BA,preferred,那个面包已经发霉了，我早上,把它丢掉了,那个面包已经发霉了，我早上把它丢掉了。,那个面包已经发霉了，我早上,我早上,,False,felicitous,那个面包已经发霉了，我早上把它丢掉了。,那个面包已经发霉了，我早上把它丢掉了。,[],0,True,False
T0034,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,17,BA-PC-017,BA-CTX-PC-017,2,SVO,non-preferred,那个面包已经发霉了，我早上,丢掉了它,那个面包已经发霉了，我早上丢掉了它。,那个面包已经发霉了，我早上,我早上,,True,infelicitous,那个面包已经发霉了，我早上丢掉了它。,那个面包已经发霉了，我早上丢掉了它。,[],0,True,False
T0035,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,18,BA-PC-018,BA-CTX-PC-018,1,BA,preferred,这碗汤实在太咸了，我加了一些水,把它冲淡了,这碗汤实在太咸了，我加了一些水把它冲淡了。,这碗汤实在太咸了，我加了一些水,我加了一些水,,False,felicitous,这碗汤实在太咸了，我加了一些水把它冲淡了。,这碗汤实在太咸了，我加了一些水把它冲淡了。,[],0,True,False
T0036,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,18,BA-PC-018,BA-CTX-PC-018,2,SVO,non-preferred,这碗汤实在太咸了，我加了一些水,冲淡了它,这碗汤实在太咸了，我加了一些水冲淡了它。,这碗汤实在太咸了，我加了一些水,我加了一些水,,True,infelicitous,这碗汤实在太咸了，我加了一些水冲淡了它。,这碗汤实在太咸了，我加了一些水冲淡了它。,[],0,True,False
T0037,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,19,BA-PC-019,BA-CTX-PC-019,1,BA,preferred,厨房的窗户太脏了，我用抹布,把它擦干净了,厨房的窗户太脏了，我用抹布把它擦干净了。,厨房的窗户太脏了，我用抹布,我用抹布,,False,felicitous,厨房的窗户太脏了，我用抹布把它擦干净了。,厨房的窗户太脏了，我用抹布把它擦干净了。,[],0,True,False
T0038,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,19,BA-PC-019,BA-CTX-PC-019,2,SVO,non-preferred,厨房的窗户太脏了，我用抹布,擦干净了它,厨房的窗户太脏了，我用抹布擦干净了它。,厨房的窗户太脏了，我用抹布,我用抹布,,True,infelicitous,厨房的窗户太脏了，我用抹布擦干净了它。,厨房的窗户太脏了，我用抹布擦干净了它。,[],0,True,False
T0039,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,20,BA-PC-020,BA-CTX-PC-020,1,BA,preferred,这个西瓜太大了，我一个人吃不完，先用刀,把它切开了,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,这个西瓜太大了，我一个人吃不完，先用刀,我先用刀,,False,felicitous,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,这个西瓜太大了，我一个人吃不完，先用刀把它切开了。,[],0,True,False
T0040,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,20,BA-PC-020,BA-CTX-PC-020,2,SVO,non-preferred,这个西瓜太大了，我一个人吃不完，先用刀,切开了它,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,这个西瓜太大了，我一个人吃不完，先用刀,我先用刀,,True,infelicitous,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,这个西瓜太大了，我一个人吃不完，先用刀切开了它。,[],0,True,False
T0041,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,21,BA-PC-021,BA-CTX-PC-021,1,BA,preferred,那张画被妹妹涂得乱七八糟，我只能,把它扔了,那张画被妹妹涂得乱七八糟，我只能把它扔了。,那张画被妹妹涂得乱七八糟，我只能,我只能,,False,felicitous,那张画被妹妹涂得乱七八糟，我只能把它扔了。,那张画被妹妹涂得乱七八糟，我只能把它扔了。,[],0,True,False
T0042,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,21,BA-PC-021,BA-CTX-PC-021,2,SVO,non-preferred,那张画被妹妹涂得乱七八糟，我只能,扔了它,那张画被妹妹涂得乱七八糟，我只能扔了它。,那张画被妹妹涂得乱七八糟，我只能,我只能,,True,infelicitous,那张画被妹妹涂得乱七八糟，我只能扔了它。,那张画被妹妹涂得乱七八糟，我只能扔了它。,[],0,True,False
T0043,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,22,BA-PC-022,BA-CTX-PC-022,1,BA,preferred,昨天买的肉还没吃，为了保鲜，我先,把它冻起来了,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,昨天买的肉还没吃，为了保鲜，我先,我先,,False,felicitous,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,昨天买的肉还没吃，为了保鲜，我先把它冻起来了。,[],0,True,False
T0044,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,22,BA-PC-022,BA-CTX-PC-022,2,SVO,non-preferred,昨天买的肉还没吃，为了保鲜，我先,冻起来了它,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,昨天买的肉还没吃，为了保鲜，我先,我先,,True,infelicitous,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,昨天买的肉还没吃，为了保鲜，我先冻起来了它。,[],0,True,False
T0045,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,23,BA-PC-023,BA-CTX-PC-023,1,BA,preferred,我的鞋子昨天淋湿了，我用吹风机,把它吹干了,我的鞋子昨天淋湿了，我用吹风机把它吹干了。,我的鞋子昨天淋湿了，我用吹风机,我用吹风机,,False,felicitous,我的鞋子昨天淋湿了，我用吹风机把它吹干了。,我的鞋子昨天淋湿了，我用吹风机把它吹干了。,[],0,True,False
T0046,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,23,BA-PC-023,BA-CTX-PC-023,2,SVO,non-preferred,我的鞋子昨天淋湿了，我用吹风机,吹干了它,我的鞋子昨天淋湿了，我用吹风机吹干了它。,我的鞋子昨天淋湿了，我用吹风机,我用吹风机,,True,infelicitous,我的鞋子昨天淋湿了，我用吹风机吹干了它。,我的鞋子昨天淋湿了，我用吹风机吹干了它。,[],0,True,False
T0047,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,24,BA-PC-024,BA-CTX-PC-024,1,BA,preferred,这个汉堡实在太大了，但我太饿了，最后还是,把它吃光了,这个汉堡实在太大了，但我太饿了，最后还是把它吃光了。,这个汉堡实在太大了，但我太饿了，最后还是,我最后还是,,False,felicitous,这个汉堡实在太大了，但我太饿了，最后还是把它吃光了。,这个汉堡实在太大了，但我太饿了，最后还是把它吃光了。,[],0,True,False
T0048,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,24,BA-PC-024,BA-CTX-PC-024,2,SVO,non-preferred,这个汉堡实在太大了，但我太饿了，最后还是,吃光了它,这个汉堡实在太大了，但我太饿了，最后还是吃光了它。,这个汉堡实在太大了，但我太饿了，最后还是,我最后还是,,True,infelicitous,这个汉堡实在太大了，但我太饿了，最后还是吃光了它。,这个汉堡实在太大了，但我太饿了，最后还是吃光了它。,[],0,True,False
T0049,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,25,BA-PC-025,BA-CTX-PC-025,1,BA,preferred,那封旧情书，他用打火机,把它烧了,那封旧情书，他用打火机把它烧了。,那封旧情书，他用打火机,他用打火机,,False,felicitous,那封旧情书，他用打火机把它烧了。,那封旧情书，他用打火机把它烧了。,[],0,True,False
T0050,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,25,BA-PC-025,BA-CTX-PC-025,2,SVO,non-preferred,那封旧情书，他用打火机,烧了它,那封旧情书，他用打火机烧了它。,那封旧情书，他用打火机,他用打火机,,True,infelicitous,那封旧情书，他用打火机烧了它。,那封旧情书，他用打火机烧了它。,[],0,True,False
T0051,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,26,BA-PC-026,BA-CTX-PC-026,1,BA,preferred,这篇作文有很多错别字，昨天晚上我已经,把那些字修改了,这篇作文有很多错别字，昨天晚上我已经把那些字修改了。,这篇作文有很多错别字，昨天晚上我已经,昨天晚上我已经,,False,felicitous,这篇作文有很多错别字，昨天晚上我已经把那些字修改了。,这篇作文有很多错别字，昨天晚上我已经把那些字修改了。,[],0,True,False
T0052,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,26,BA-PC-026,BA-CTX-PC-026,2,SVO,non-preferred,这篇作文有很多错别字，昨天晚上我已经,修改了那些字,这篇作文有很多错别字，昨天晚上我已经修改了那些字。,这篇作文有很多错别字，昨天晚上我已经,昨天晚上我已经,,True,infelicitous,这篇作文有很多错别字，昨天晚上我已经修改了那些字。,这篇作文有很多错别字，昨天晚上我已经修改了那些字。,[],0,True,False
T0053,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,27,BA-PC-027,BA-CTX-PC-027,1,BA,preferred,墙上的那个钉子太危险，爸爸用锤子,把它拔出来了,墙上的那个钉子太危险，爸爸用锤子把它拔出来了。,墙上的那个钉子太危险，爸爸用锤子,爸爸用锤子,,False,felicitous,墙上的那个钉子太危险，爸爸用锤子把它拔出来了。,墙上的那个钉子太危险，爸爸用锤子把它拔出来了。,[],0,True,False
T0054,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,27,BA-PC-027,BA-CTX-PC-027,2,SVO,non-preferred,墙上的那个钉子太危险，爸爸用锤子,拔出它来了,墙上的那个钉子太危险，爸爸用锤子拔出它来了。,墙上的那个钉子太危险，爸爸用锤子,爸爸用锤子,,True,infelicitous,墙上的那个钉子太危险，爸爸用锤子拔出它来了。,墙上的那个钉子太危险，爸爸用锤子拔出它来了。,[],0,True,False
T0055,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,28,BA-PC-028,BA-CTX-PC-028,1,BA,preferred,弟弟的玩具车坏了，我花了一个小时才,把它修好了,弟弟的玩具车坏了，我花了一个小时才把它修好了。,弟弟的玩具车坏了，我花了一个小时才,我花了一个小时才,,False,felicitous,弟弟的玩具车坏了，我花了一个小时才把它修好了。,弟弟的玩具车坏了，我花了一个小时才把它修好了。,[],0,True,False
T0056,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,28,BA-PC-028,BA-CTX-PC-028,2,SVO,non-preferred,弟弟的玩具车坏了，我花了一个小时才,修好了它,弟弟的玩具车坏了，我花了一个小时才修好了它。,弟弟的玩具车坏了，我花了一个小时才,我花了一个小时才,,True,infelicitous,弟弟的玩具车坏了，我花了一个小时才修好了它。,弟弟的玩具车坏了，我花了一个小时才修好了它。,[],0,True,False
T0057,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,29,BA-PC-029,BA-CTX-PC-029,1,BA,preferred,锅里没有倒水，我不小心,把它烧糊了,锅里没有倒水，我不小心把它烧糊了。,锅里没有倒水，我不小心,我不小心,,False,felicitous,锅里没有倒水，我不小心把它烧糊了。,锅里没有倒水，我不小心把它烧糊了。,[],0,True,False
T0058,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,29,BA-PC-029,BA-CTX-PC-029,2,SVO,non-preferred,锅里没有倒水，我不小心,烧糊了它,锅里没有倒水，我不小心烧糊了它。,锅里没有倒水，我不小心,我不小心,,True,infelicitous,锅里没有倒水，我不小心烧糊了它。,锅里没有倒水，我不小心烧糊了它。,[],0,True,False
T0059,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,30,BA-PC-030,BA-CTX-PC-030,1,BA,preferred,那个旧纸箱没用了，我一脚,把它踩扁了,那个旧纸箱没用了，我一脚把它踩扁了。,那个旧纸箱没用了，我一脚,我一脚,,False,felicitous,那个旧纸箱没用了，我一脚把它踩扁了。,那个旧纸箱没用了，我一脚把它踩扁了。,[],0,True,False
T0060,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,30,BA-PC-030,BA-CTX-PC-030,2,SVO,non-preferred,那个旧纸箱没用了，我一脚,踩扁了它,那个旧纸箱没用了，我一脚踩扁了它。,那个旧纸箱没用了，我一脚,我一脚,,True,infelicitous,那个旧纸箱没用了，我一脚踩扁了它。,那个旧纸箱没用了，我一脚踩扁了它。,[],0,True,False
T0061,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,31,BA-PC-031,BA-CTX-PC-031,1,BA,preferred,这条鱼腌好了，妈妈放进锅里,把它炖了,这条鱼腌好了，妈妈放进锅里把它炖了。,这条鱼腌好了，妈妈放进锅里,妈妈放进锅里,,False,felicitous,这条鱼腌好了，妈妈放进锅里把它炖了。,这条鱼腌好了，妈妈放进锅里把它炖了。,[],0,True,False
T0062,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,31,BA-PC-031,BA-CTX-PC-031,2,SVO,non-preferred,这条鱼腌好了，妈妈放进锅里,炖了它,这条鱼腌好了，妈妈放进锅里炖了它。,这条鱼腌好了，妈妈放进锅里,妈妈放进锅里,,True,infelicitous,这条鱼腌好了，妈妈放进锅里炖了它。,这条鱼腌好了，妈妈放进锅里炖了它。,[],0,True,False
T0063,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,32,BA-PC-032,BA-CTX-PC-032,1,BA,preferred,那个气球吹得太大了，弟弟拿针一戳就,把它扎破了,那个气球吹得太大了，弟弟拿针一戳就把它扎破了。,那个气球吹得太大了，弟弟拿针一戳就,弟弟拿针一戳就,,False,felicitous,那个气球吹得太大了，弟弟拿针一戳就把它扎破了。,那个气球吹得太大了，弟弟拿针一戳就把它扎破了。,[],0,True,False
T0064,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,32,BA-PC-032,BA-CTX-PC-032,2,SVO,non-preferred,那个气球吹得太大了，弟弟拿针一戳就,扎破了它,那个气球吹得太大了，弟弟拿针一戳就扎破了它。,那个气球吹得太大了，弟弟拿针一戳就,弟弟拿针一戳就,,True,infelicitous,那个气球吹得太大了，弟弟拿针一戳就扎破了它。,那个气球吹得太大了，弟弟拿针一戳就扎破了它。,[],0,True,False
T0065,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,33,BA-PC-033,BA-CTX-PC-033,1,BA,preferred,头发太长了，我昨天去理发店,把它剪短了,头发太长了，我昨天去理发店把它剪短了。,头发太长了，我昨天去理发店,我昨天去理发店,,False,felicitous,头发太长了，我昨天去理发店把它剪短了。,头发太长了，我昨天去理发店把它剪短了。,[],0,True,False
T0066,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,33,BA-PC-033,BA-CTX-PC-033,2,SVO,non-preferred,头发太长了，我昨天去理发店,剪短了它,头发太长了，我昨天去理发店剪短了它。,头发太长了，我昨天去理发店,我昨天去理发店,,True,infelicitous,头发太长了，我昨天去理发店剪短了它。,头发太长了，我昨天去理发店剪短了它。,[],0,True,False
T0067,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,34,BA-PC-034,BA-CTX-PC-034,1,BA,preferred,这张纸太大了，放不进信封，我只好,把它折起来了,这张纸太大了，放不进信封，我只好把它折起来了。,这张纸太大了，放不进信封，我只好,我只好,,False,felicitous,这张纸太大了，放不进信封，我只好把它折起来了。,这张纸太大了，放不进信封，我只好把它折起来了。,[],0,True,False
